x1,x2,x3,x4,x5,x6,hartmann6
0.96,0.86,0.23,0.59,0.73,0.25,-0.008929435249724052
0.33,0.23,0.6,0.11,0.16,0.85,-1.40837687286442
0.13,0.62,0.4,0.93,0.38,0.63,-0.03602318719081582
0.5,0.49,0.77,0.38,0.95,0.27,-0.26374941931756746
0.71,0.69,0.71,0.27,0.85,0.04,-0.18336330791880692
0.09,0.32,0.08,0.79,0.29,0.92,-0.10728859868556335
0.39,0.96,0.92,0.24,0.01,0.59,-0.05462456752757065
0.76,0.09,0.29,0.69,0.57,0.45,-0.054667720406034064
0.84,0.54,0.99,0.83,0.2,0.35,-0.014045704119514163
0.47,0.42,0.37,0.35,0.66,0.74,-0.288457347947133
0.01,0.8,0.63,0.68,0.94,0.78,-0.03715699528575119
0.64,0.18,0.01,0.13,0.48,0.14,-0.07894396365507138
